"title","publishedAt","video_id","videos_stats","viewCount","likes","dislikes","name"
"Paula Fernandes - VEVO Sessions Paula Fernandes: Não Fui Eu","2015-09-02","0Ag-10gs7xs","list(id = ""0Ag-10gs7xs"", viewCount = ""88577"", likeCount = ""1048"", dislikeCount = ""38"", favoriteCount = ""0"", commentCount = ""79"")","88577","1048","38","Paula Fernandes"
"Paula Fernandes, Sandy - Sensações (Ao Vivo)","2016-10-14","AM1FrFtum58","list(id = ""AM1FrFtum58"", viewCount = ""770296"", likeCount = ""11694"", dislikeCount = ""247"", favoriteCount = ""0"", commentCount = ""773"")","770296","11694","247","Paula Fernandes"
"Paula Fernandes - Olhos De Céu (Ao Vivo)","2016-09-06","KVYNFlb5xrA","list(id = ""KVYNFlb5xrA"", viewCount = ""1566784"", likeCount = ""14599"", dislikeCount = ""358"", favoriteCount = ""0"", commentCount = ""1214"")","1566784","14599","358","Paula Fernandes"
"Paula Fernandes - Desculpe, Mas Eu Vou Chorar (Ao Vivo)","2016-10-14","3QD6h9wnDVs","list(id = ""3QD6h9wnDVs"", viewCount = ""320022"", likeCount = ""4346"", dislikeCount = ""82"", favoriteCount = ""0"", commentCount = ""279"")","320022","4346","82","Paula Fernandes"
"Paula Fernandes - Piração","2016-01-14","zLx6AsV6JgM","list(id = ""zLx6AsV6JgM"", viewCount = ""11892154"", likeCount = ""53181"", dislikeCount = ""3604"", favoriteCount = ""0"", commentCount = ""2966"")","11892154","53181","3604","Paula Fernandes"
"Paula Fernandes - Depende Da Gente (Ao Vivo)","2016-07-15","U1VDmhxhTKU","list(id = ""U1VDmhxhTKU"", viewCount = ""3123611"", likeCount = ""28609"", dislikeCount = ""883"", favoriteCount = ""0"", commentCount = ""1688"")","3123611","28609","883","Paula Fernandes"
"Paula Fernandes - Pronta Pra Você (Lyric Video)","2016-03-23","KkEh5v7H4ZU","list(id = ""KkEh5v7H4ZU"", viewCount = ""1063015"", likeCount = ""9432"", dislikeCount = ""272"", favoriteCount = ""0"", commentCount = ""600"")","1063015","9432","272","Paula Fernandes"
"Paula Fernandes - Menino Bonito","2016-03-29","wCAqGIoQBF8","list(id = ""wCAqGIoQBF8"", viewCount = ""1568200"", likeCount = ""12223"", dislikeCount = ""511"", favoriteCount = ""0"", commentCount = ""576"")","1568200","12223","511","Paula Fernandes"
"Paula Fernandes - Cartas No Porão (Ao Vivo)","2016-10-14","EJqHAgrjqGo","list(id = ""EJqHAgrjqGo"", viewCount = ""147030"", likeCount = ""1939"", dislikeCount = ""50"", favoriteCount = ""0"", commentCount = ""133"")","147030","1939","50","Paula Fernandes"
"Paula Fernandes - La Paz De Este Amor (Ao Vivo) ft. Pablo Lopez","2016-10-14","3EPHwkHLS74","list(id = ""3EPHwkHLS74"", viewCount = ""180657"", likeCount = ""3058"", dislikeCount = ""48"", favoriteCount = ""0"", commentCount = ""241"")","180657","3058","48","Paula Fernandes"
"Paula Fernandes - Nuvem De Lágrimas (Ao Vivo)","2016-10-14","T_sabJj2hyo","list(id = ""T_sabJj2hyo"", viewCount = ""202712"", likeCount = ""2300"", dislikeCount = ""64"", favoriteCount = ""0"", commentCount = ""144"")","202712","2300","64","Paula Fernandes"
"Paula Fernandes - Amanhecer","2016-04-04","TWUOsIvvaq8","list(id = ""TWUOsIvvaq8"", viewCount = ""1570267"", likeCount = ""18017"", dislikeCount = ""688"", favoriteCount = ""0"", commentCount = ""1260"")","1570267","18017","688","Paula Fernandes"
"Paula Fernandes - Depende Da Gente (Ao Vivo Na Feira Do Carreteiro)","2016-08-24","9uTDGyR8Lk8","list(id = ""9uTDGyR8Lk8"", viewCount = ""477020"", likeCount = ""2044"", dislikeCount = ""34"", favoriteCount = ""0"", commentCount = ""139"")","477020","2044","34","Paula Fernandes"
